,Actual,Linear_Predicted,Ridge_Predicted
0,19.7,123.50650007811743,106.87055142513941
1,90.0,29.052810654413236,32.78443184851784
2,0.0,79.83105655079521,83.64039602070801
3,955.0,874.4870755910179,853.288508378063
4,650.0,804.1706580012096,819.162337923182
5,40.0,-149.9137767834198,-136.689099166694
6,300.0,324.8773292965312,329.9739461956944
7,1600.0,1254.2005530298045,1236.2809649359474
8,840.0,683.14714386784,692.7303470870856
9,725.0,734.2661134331042,715.933437594929
10,500.0,494.38240831176034,518.8682123390959
11,145.0,211.38789510729077,210.16242979718265
12,85.0,54.45649139673242,47.550162209511825
13,685.0,726.4937247071853,735.9403767449343
14,720.0,712.0387181523959,706.9490137884643
15,170.0,209.80122267456477,203.66194095971562
