,Actual,L_Predicted,DTR_Predicted,RFR_Predict,HGBR_Predict
0,500001.0,363585.599885282,420300.0,447028.57,434272.92384830763
1,248600.0,264854.0848932718,266200.0,257039.0,258079.46852061347
2,97300.0,61124.69286314407,96700.0,84387.0,84785.08686861806
3,118800.0,104145.56992692323,116300.0,102983.0,98614.1986194148
4,158000.0,174336.3827008952,157700.0,206939.0,221207.34636489692
5,100000.0,127194.43114934601,163500.0,113305.0,105284.8191097034
6,57400.0,136618.54271947662,59500.0,76160.0,73448.4020778987
7,293300.0,226596.08134318187,243200.0,253574.0,229015.96553085913
8,155800.0,228983.19880822307,193200.0,155945.0,164477.06149822826
9,192700.0,252577.86096123385,170800.0,191940.0,187719.4328905827
10,210300.0,215701.31514691297,146100.0,204136.0,213072.41058007572
11,172300.0,218639.05911634068,162500.0,186398.0,197955.0519196374
12,285800.0,327419.99042316846,364500.0,347145.02,300532.90075839456
13,61700.0,82101.06670486189,64300.0,69341.0,70954.29294385064
14,179300.0,246026.18961706763,203300.0,231475.0,240748.0421308479
15,97500.0,160334.7503923311,84600.0,99510.0,135801.5433968814
16,144400.0,151937.88929759664,137900.0,151250.0,166769.42026690944
17,158900.0,142506.57317674157,125000.0,141570.0,111300.91291444482
18,275900.0,270311.96527952154,284900.0,297166.0,290867.9401765489
19,104600.0,84422.44349732902,105100.0,91856.0,88900.27874259421
20,180900.0,125913.5942642213,162800.0,178324.0,179668.69000390676
21,117600.0,141478.85680598536,117200.0,113805.0,128802.7255201401
22,222300.0,208452.20191673422,131800.0,182728.0,183673.0114627025
23,239300.0,220629.09527562567,194800.0,205574.0,236704.53519640764
24,269800.0,256123.13217051848,271400.0,268057.0,255912.47020724317
25,138800.0,138469.8977091614,159700.0,136461.0,122189.10756764896
26,144200.0,285627.53820096585,232400.0,234051.0,246014.38955881068
27,70200.0,78717.18658793863,66100.0,81394.0,72933.8278364892
28,229900.0,207048.68972109156,176100.0,190869.0,205254.04714277558
29,247200.0,288917.2368234233,264700.0,297440.03,283481.5882175998
30,150900.0,162672.36807073004,140400.0,146851.0,157036.6608480327
31,296600.0,274830.9397190802,273500.0,249456.0,239634.69251993488
32,131900.0,94367.85789633523,68500.0,133179.0,131717.67034083244
33,267400.0,257935.11159466542,265900.0,275619.0,272784.78308014874
34,161700.0,260978.041656872,300000.0,199228.01,199857.0497417335
35,187500.0,123342.32529870138,143800.0,137912.0,155096.2233040635
36,83600.0,113047.63078317727,67600.0,72259.0,67755.3781810417
37,182400.0,219138.94252473564,187500.0,209606.0,186569.69391577464
