,Actual,LR_Predicted,L_Predicted,R_Predicted,RFR_Predicted
0,62,67.0051851144389,66.14400147716509,67.0415497165114,66.35859262501467
1,59,63.691135061005056,64.5099649937045,63.69459142653426,63.02780412560448
2,64,60.60566522789707,60.43223444136342,60.549157693472566,60.05635233083476
3,61,60.97828895082279,59.22644435256593,61.003288251401024,54.605976732689854
4,53,56.88764597317241,56.24616639257282,56.818854239759666,55.15010853803918
5,73,70.46709604613471,66.69858856520732,70.48047534344902,65.09895253389696
6,58,59.0296906262535,62.15236619439332,59.079667746474875,60.36198380896851
7,83,85.43251831288156,83.49237737828844,85.38694820046227,86.81813991064759
8,74,79.54296394920728,77.07161018182104,79.44914629037723,74.90693463732023
9,44,36.27053753286645,39.35180684288663,36.27588457497221,35.294950926074215
10,53,57.17726645128552,58.78363580271797,57.147623679762376,57.698650649373256
11,79,83.84866188933215,79.45769446073201,83.74846504712838,84.34923130168352
12,52,49.8845807048762,54.38219053773872,49.937582944508826,52.608977686749355
13,94,89.63253613209379,86.34695347567232,89.63448683501183,87.6091108694425
14,51,53.7033640563416,53.92817418630156,53.74264352795318,52.15623226990521
15,85,82.5319664705049,82.17503448171115,82.50460386356713,86.01819255841872
16,67,73.34305997840531,69.84784175300878,73.33787259826133,68.24021344043493
17,61,76.08726506861215,77.10009566142085,76.09645002169941,76.78573999955755
18,55,46.6289229193316,49.08433347182978,46.65921275402197,50.21187349387365
19,76,64.390529604395,65.21552411262547,64.39993352768884,64.5568810959101
20,42,46.3054750853696,49.48753542863781,46.36450030317281,48.29731392969444
21,65,62.331962795895336,65.10080432119099,62.33618486378207,65.50014859325809
22,79,78.55131622231943,76.23332807453599,78.55513347766222,80.94176000820167
23,62,64.18590012671876,61.68902629473097,64.0982574980369,65.25672487498156
24,54,58.83758720154726,57.2288125053372,58.819934845461994,53.33666203031891
25,82,71.91827960825492,68.30758061081285,71.88732367744797,68.35160340946483
26,69,70.9340521372313,68.91256899312877,70.90358218640745,69.87601623194799
27,79,86.09760815102098,83.29835771262502,86.04026858414372,84.91765220915866
28,35,31.8525983823587,34.331036770821086,31.854698668027787,31.452980999994143
29,61,52.92066853761241,53.37400019861476,52.94769147620256,51.783669313579594
30,52,60.31030108019228,60.752369069991474,60.28353839672665,58.35844980589994
31,51,48.9770426394426,53.262221660420494,49.12200588743466,53.31948291128892
32,73,77.52306035035166,75.28274752538152,77.45087718537319,74.33941026959582
33,64,57.914327799931314,57.5058994991806,57.936751210793794,54.72669341863219
34,65,71.8714705649485,71.65085346427772,71.8471874723246,71.09123522625781
35,69,73.64857485636375,69.73628894522898,73.55285844766499,68.81531934500008
36,91,95.017578210476,92.55895148135052,95.02969319075797,92.23477545301745
37,82,85.72336869699332,81.89794748786775,85.64085645977087,84.32886316232609
38,61,58.96603778580992,60.91767752564061,59.05795725139261,61.546397833249145
39,74,70.10142019624698,71.09667947659092,70.04363130173229,67.66215689760169
40,92,88.92081539026242,88.02109634067736,88.9170996822184,93.17588763302159
41,87,82.01935673433671,81.52364411101493,81.97533107833587,84.4183740318913
42,100,90.54386421297546,90.20135268203936,90.63040463286225,88.40866854193115
43,70,70.9705054993222,68.73908067727974,70.92285616393616,67.20730525860432
44,60,61.592156167778185,62.73566449244982,61.50785361455414,60.459805947528274
45,64,71.22006082703581,73.18473231148869,71.22519582015619,74.82014075176254
46,78,85.62628226422986,82.05728674888735,85.58733945999857,84.43922735748198
47,65,66.63265512132469,67.75299352277062,66.65685538713007,68.09497164211588
48,53,53.445204479191574,56.28577298561273,53.481639363507405,52.11223260947594
49,51,54.58701493138585,57.07104507911805,54.59279114682201,59.207676686462136
50,60,50.65997586096626,52.348306451065724,50.63704549093765,50.909390116395386
51,46,46.731243463087885,49.339317281058335,46.731585393971486,50.878614652345895
52,63,66.9754041591079,68.79324942550451,66.97009812301656,68.55987422442924
53,90,92.69601248989717,87.2899929953968,92.64300469556494,87.9238151410198
54,40,51.47331894146442,55.79674981732543,51.52026213408689,55.06488609116482
55,51,56.42807389262783,57.826034127808654,56.484988494762014,56.273546533386735
56,73,72.10023134673808,70.05642357385703,72.03989257913832,68.86058093085991
57,66,64.44336467168807,63.84401246782343,64.44139404551916,61.44674642939187
58,80,81.02667943299114,81.10629309937747,81.00298255105315,82.02195031468254
59,72,80.72565539140163,78.17995815719465,80.74136477742333,79.50483860738643
60,68,69.60586936029286,68.2466164672477,69.61295096602048,69.95696488887509
61,63,71.20264971555626,70.3876793159252,71.1726178163553,69.85519784938556
62,79,77.28241145981414,80.28895544226222,77.34697191114488,79.26062930001905
63,61,48.571188289090124,48.770581138186685,48.56951268009939,50.670275965092536
64,69,66.51907614114009,66.06134724934053,66.51414651791927,66.11699859679895
65,63,69.14120034432676,70.80503032756268,69.14972219514365,69.4881484837406
66,44,48.083298388364334,51.23931964492223,48.18152320715977,47.58058468929376
67,66,63.38996815598301,63.05235807933314,63.40165541763113,63.233422470334126
68,29,24.496775972344878,28.888176868662924,24.524250198839567,23.40628430779745
69,62,55.12163912391162,56.54535657103106,55.12247227638662,57.13276094317619
70,60,66.8057042480853,65.73009150727236,66.77444236382355,65.57289219122626
71,47,50.22042584063232,53.201670617210766,50.337328121011936,55.2744822236799
72,64,56.15049572643065,58.58920303669914,56.165574607098534,55.1754867338208
73,73,69.27749704030832,67.6924424795609,69.23148966612882,69.57176312981073
74,56,53.058014207735894,55.32523005746319,53.09530115521967,54.885452731880825
75,72,64.5826568028799,64.31553222768567,64.58721690988236,62.814429733169256
76,64,66.09188791136953,66.66674873201187,66.04780373006338,68.16402924609102
77,62,57.45484461748269,58.02046689382749,57.46703756742585,54.993712374874605
78,22,25.692619132003365,31.447749463422923,25.790434429131793,26.26716040654391
79,39,38.16536275343728,42.44345024071859,38.25082102756805,37.85766740864948
80,70,59.314139429908224,58.72602601274847,59.31946689251531,57.15439225814794
81,59,65.32789489511492,63.52387783919537,65.3099044746004,63.24613303758772
82,84,85.60291564407986,81.38338009322086,85.5314056007317,82.53347995832469
83,62,68.1060032036826,70.05642357385703,68.0944564627729,68.4525231124528
84,75,78.68284250693176,76.90566289540202,78.66836980502194,76.31997922009253
85,75,76.78877028964631,76.45665942051004,76.82150028829841,75.98769610263389
86,72,65.24549425966377,66.84661934284586,65.2453931214107,69.20106244034636
87,67,66.57836528187075,67.8932575405647,66.55449037287475,66.05302294185164
88,40,43.49610422073503,45.43033622611114,43.50222082023553,44.71743489684613
89,27,39.971400484657856,40.8205348706981,39.90996965678056,42.02927430792013
90,55,66.45446557804999,68.08769030658353,66.41317885153191,65.37671399113088
91,50,49.42955081266412,49.861838805490635,49.45086118220069,46.65851631996793
92,81,71.06899935127075,69.95920719084762,71.03090669289416,69.93493351919274
93,53,51.11186957947217,53.57597399406359,51.21983417543917,55.611554254030494
94,71,73.04519619784524,73.75346845436033,72.98949159940139,74.60902805367253
95,75,71.27648396778254,71.77017303190198,71.28627122701263,73.65727663577883
96,68,61.345613930279804,58.9204587787673,61.29838246965264,58.3005083491885
97,66,66.62290446085993,67.13008863167421,66.65645578501177,67.80405915235501
98,65,68.6183214534243,68.1703445344081,68.60563062397115,68.21966957781906
99,93,92.34839019462454,86.09196966644376,92.32419789366611,89.30929179680027
100,72,74.90666167821286,70.76198269277802,74.8381431977903,70.22325576495719
101,59,64.58303657485548,63.08902341913283,64.55943542163224,65.23849793015093
102,89,90.52747564708478,88.47009981556933,90.52113896145949,92.39267101665722
103,46,46.940747419290275,50.05585847115405,47.005998135138945,47.34130227480305
104,94,80.01997459659553,79.83199783758484,79.9798763932499,84.33719849500989
105,50,52.19523711694403,54.076618064295516,52.14419013536794,55.740918798041314
106,82,70.78770571209682,70.13907780168161,70.80486958512438,70.76065512366853
107,72,74.2493776503467,69.52770712438071,74.21047081188598,69.13660239540545
108,79,74.10829703225829,70.3876793159252,74.05589649120894,69.7929600903243
109,58,62.00730357495344,63.27527632495178,62.058877568515854,61.970154058777304
110,79,80.59340661924446,80.47700591329608,80.56597447902595,83.74901137747027
111,58,53.93623140585437,53.651087192458164,53.969382707615964,52.17195245693411
112,56,60.91227790007031,62.243200282417774,60.88657028092721,63.19330571820705
113,75,73.79778939045794,76.47080847533947,73.84597054615517,76.49046972886403
114,87,81.53511812352738,79.99730629323398,81.58176061112061,79.88694712291735
115,56,55.65516967074909,59.74877850705728,55.66304359335222,59.20311441689948
116,85,83.22354137620702,81.93755408090767,83.23930493549722,84.88323126289002
117,62,56.97994943979843,56.80034038025962,56.95736183650488,54.9037821453559
118,62,63.86003263408652,63.5527764191506,63.873669908276014,60.94846287423038
119,57,59.96786924964105,57.89476503121826,59.90084935612146,57.6202650153072
120,80,73.35398742546012,72.34185042801386,73.43196206969695,73.65338593794418
121,79,71.50819527504375,70.21534973452121,71.53018002867628,73.29149480911329
122,86,83.01797787290414,81.75768347007369,82.98643688870574,82.7385497710115
123,66,68.46592542149693,66.33843424318393,68.47626920204918,64.99702487871451
