,Actual,RFR_Predicted,DTA_Predicted,GBR_Predict
0,2203.47185,13434.21358323813,21344.8467,3676.889115484433
1,18648.4217,25811.625850380937,35147.52848,21422.41760354508
2,11305.93455,15352.503792476178,11082.5772,13242.177481653545
3,2166.732,2225.295142523809,2404.7338,2929.591513092026
4,5245.2269,5497.460124714295,5377.4578,6505.4978148548
5,48885.13561,45646.73202323805,44202.6536,42405.40507319086
6,8068.185,9790.988542666644,8062.764,10277.436980938995
7,19749.38338,11096.16125214285,10702.6424,11757.096851164277
8,3238.4357,9202.649670619057,2730.10785,6603.232015517958
9,9869.8102,11845.033565285727,10594.50155,12232.938901722027
10,12979.358,13954.291240476185,13462.52,14539.66799385091
11,11165.41765,12261.675287190474,11454.0215,12267.938971339574
12,1633.0444,6112.349716894557,12890.05765,3504.1641447520797
13,21232.18226,9428.336318809526,8116.68,9785.39875818891
14,8534.6718,15656.365646476186,26236.57997,10435.73549291665
15,5584.3057,6592.994386571432,5836.5204,7813.530179446078
16,21259.37795,23187.35958809527,19964.7463,23459.847591697708
17,9583.8933,11569.156113904759,28468.91901,10919.584332743261
18,11552.904,12213.1144332381,11299.343,10993.561194261694
19,6555.07035,6173.9877368571515,6067.12675,7020.685172229559
20,35595.5898,35213.08210428573,36189.1017,35093.7723519774
21,2710.82855,2982.4191022380933,2709.24395,4458.698684483981
22,2128.43105,2408.3251184095207,2203.73595,3625.428461343297
23,2867.1196,3782.31444457143,3062.50825,4561.426742391285
24,3561.8889,10347.716026142865,23288.9284,5880.817990985925
25,5630.45785,6023.371743571437,5377.4578,6895.498125064398
26,44423.803,45263.83399061908,44400.4064,45220.33819779225
27,14410.9321,14323.219986666643,13822.803,14651.598976520649
28,13415.0381,15007.025608380916,28923.13692,13745.389859794186
29,13880.949,13765.047266428564,13393.756,14372.02361767119
30,7650.77375,16220.577723666634,11326.71487,10859.212511385766
31,1632.03625,1643.4651778571454,1632.56445,3005.5594095059914
32,3579.8287,17365.265694428563,26018.95052,7097.406949029938
33,8283.6807,10895.872826809522,8871.1517,10080.075900565975
34,21223.6758,24534.42572780954,35069.37452,23828.126185699137
35,1141.4451,1727.9499655158734,1646.4297,3430.4887269029305
36,5261.46945,6978.306998809523,5031.26955,7682.122032328112
37,1526.312,6230.690965571441,1909.52745,2737.1770416788686
38,3987.926,5155.122071238091,4391.652,6371.804867534481
39,16796.41194,9093.599032904764,18903.49141,6048.545799841292
40,11482.63485,1967.9652799444427,2207.69745,3454.8960017954605
41,29330.98315,28386.096615952432,28950.4692,27605.14299548383
42,51194.55914,38376.104770190475,38344.566,37358.604928811816
43,20234.85475,20886.57967833335,22331.5668,21225.483655447937
44,10106.13425,18345.720034523783,9617.66245,11392.632425158934
45,6837.3687,7248.164407714299,6250.435,8581.693257836436
46,41097.16175,41545.413400000034,40974.1649,41613.76393922808
47,2690.1138,5497.25755028571,2842.76075,4883.061708081711
48,12592.5345,16216.626087428574,12485.8009,14425.594479867477
49,2136.88225,2147.3130714285658,2138.0707,3793.4356578639245
50,2438.0552,7317.596012714292,2927.0647,5025.943983555831
51,19350.3689,19695.664137000036,18246.4955,21554.289133008497
52,4428.88785,7569.827887285727,4435.0942,7186.393816170366
53,10795.93733,8144.621797000012,2899.48935,4135.764105689303
54,1969.614,5736.21999857143,2352.96845,4079.361665557279
55,5974.3847,5868.829880238092,5976.8311,6598.289762300872
56,43254.41795,45451.15178757146,44641.1974,44333.515064328065
57,3046.062,5676.330410904754,3044.2133,4752.413120535591
58,8413.46305,11420.64793666668,8116.26885,9899.534677741849
59,19144.57652,11147.881896619057,8310.83915,9632.881113745165
60,9964.06,10479.022424904764,8765.249,11057.588207300214
61,18765.87545,18025.866028809538,17361.7661,18015.82491691872
62,42124.5153,41402.72993323809,40941.2854,42366.56428569935
63,1136.3994,1303.3596650000018,1135.9407,3262.481530382303
64,7050.642,7012.24273452381,7045.499,7288.824314071204
65,3537.703,10234.943826666668,4189.1131,7238.8902585354335
66,1837.237,2153.9929402857133,1832.094,3793.343721125436
67,12233.828,13650.346983190453,13217.0945,14504.24999800761
68,20630.28351,10898.430739761909,9850.432,11976.508863564613
69,42560.4304,45825.682127428554,44202.6536,42559.866082876295
70,2205.9808,3478.3145800047578,2130.6759,3676.889115484433
71,13831.1152,14202.610732523806,13822.803,14625.821174510422
72,2156.7518,2944.119087519044,2155.6815,3410.178274237621
73,3861.20965,4619.163886476184,4005.4225,5063.673941387013
74,3471.4096,10996.148633904786,3277.161,5983.323724944517
75,5709.1644,6469.862863952383,5699.8375,6766.5557420971745
76,8835.26495,10290.474471142848,20878.78443,10530.46804125848
77,44501.3982,40785.092665619086,40904.1995,43559.96311397457
78,12244.531,15474.165990190471,21797.0004,14598.319191300101
79,6414.178,7632.236971761896,15828.82173,7883.72844105297
80,2055.3249,2646.6944739523824,2254.7967,3433.0139899301394
81,19107.7796,18625.820261428595,19521.9682,19366.81630886186
82,10713.644,11327.024909380954,10704.47,12076.150715566071
83,2200.83085,4953.536995504758,1743.214,3632.1713879265935
84,5969.723,6571.292526904763,5979.731,6687.168219869977
85,37701.8768,39691.36625752387,37607.5277,38549.49374241663
86,7281.5056,6946.947455428574,6686.4313,8172.222016839525
87,3554.203,4442.898265142853,3761.292,4638.473352177486
88,7201.70085,7365.395959047606,7986.47525,8344.557313811609
89,9800.8882,10014.807204095241,9304.7019,11570.593929605862
90,3500.6123,6640.8757142380955,3056.3881,7222.021148834204
91,11856.4115,15479.190844476174,12430.95335,12419.780963118108
92,3260.199,3967.095270714284,3645.0894,3386.5823663169767
93,4234.927,6092.27611190476,4391.652,6371.804867534481
94,4438.2634,7005.179672000007,6799.458,7356.578164432574
95,16232.847,18028.380890333312,17085.2676,18849.102710917345
96,4185.0979,6241.402403952375,4992.3764,5134.535771978033
