,Actual,R_Predicted,L_Predicted,RFR_Predict,XGB_Predict
0,24.91766264,24.508671421622147,26.251607877032953,25.340242480399993,27.108149
1,34.48758952,40.1303563760236,41.60718847724306,35.140737029499995,34.690662
2,55.15808,70.16124192461083,62.749357784577725,52.13873064070004,52.904892
3,13.29309728,20.648881501754886,23.749800736454063,13.785948517000008,12.706242
4,33.79811352,32.47792794425891,32.24480239503975,34.82404691580001,35.324524
5,23.07676172,29.473008320115145,26.42132104384767,14.062858820440004,14.986461
6,25.42235907,44.84293980081411,36.8547973599401,22.28525016694001,23.01583
7,40.9348796,37.04353762750443,38.58842369326536,44.191729798,42.88251
8,51.04190828,59.44081839739464,54.49001064139793,50.71195855520003,49.629936
9,36.93522932,39.66759278052919,39.256103688421874,38.26145019539997,38.822247
10,33.72916592,28.94217055742601,29.481009341551406,37.06602981199997,39.128757
11,25.72434956,26.099297470717723,28.04539767409917,32.90868948000002,32.359226
12,31.0236621,24.965513887795957,26.90519738271049,31.37285411119998,29.947372
13,24.8900836,22.76222876811981,24.754881710586428,27.354753457199994,26.782614
14,22.7182342,26.71163602223492,28.91468514788141,24.13945107880001,22.498205
15,25.21689522,22.91549544870332,28.25253501377221,24.8343601497,21.20819
16,51.73276323,48.17159991893047,46.79707195082675,50.81571878119999,52.284626
17,65.19685056,64.29126400125372,60.27309294669754,64.90623642599994,65.14861
18,40.14818748,35.47968462242388,33.166578800965375,44.834480009599986,45.702133
19,42.79577532,48.63495689669632,44.676580794806576,36.64683595523327,40.774826
20,15.61594192,22.14765855449839,27.106765906062137,15.584412187500014,17.816135
21,55.45455468,49.743817807542214,45.530913205258045,53.53213931087335,54.993538
22,80.19984832,55.99935705184842,50.07208343412392,64.7045420419,75.808464
23,38.99676256,43.288826687058666,43.30572843954838,39.922694353899985,38.65839
24,26.77235308,27.274549119859046,28.196222008167883,24.762185801999998,26.661861
25,19.69143456,18.567836552424094,25.346919589200173,19.711215626100014,19.742569
26,25.46096973,21.950011102227364,24.944324970679446,27.42170847189998,25.549868
27,26.8550902,26.27227610499491,29.36752894480582,32.20123884119997,28.055805
28,52.00717468,50.99078387722324,47.72462431074476,40.31507416092005,43.018032
29,32.82319446,26.761094643181,29.9703614770784,30.982099497199982,30.187742
30,8.374375496,12.992376873270533,18.790415466141337,10.155636743360002,10.680768
31,26.32281473,22.878989681703256,26.40736894262937,24.912905255599966,23.237207
32,65.90907927,45.98417247034376,42.97189776654502,54.10399530160002,55.983204
33,7.723510152,10.821726851243042,16.807240041430987,9.669108004040002,9.678602
34,17.95947085,26.353927047974828,31.247873564252025,18.993843427399995,18.900188
35,49.77327244,38.27165400064585,37.84095990728809,45.86863195679995,47.609898
36,52.30364936,36.406152170382306,37.61200206263325,61.78245607710002,57.573536
37,30.9574724,19.43487056736655,26.539561863084874,18.9336955106,21.116713
38,31.87516496,27.381549170167197,31.007785973690225,32.19657798330001,30.510775
39,12.83804312,13.233940242406927,21.08256065187115,22.580442421199997,17.021421
40,35.852752,33.84381531496834,29.439966382936365,38.37737770520003,35.5633
41,31.64005364,29.56892612833048,30.90785524057991,36.440371710600004,34.119728
42,17.57612219,17.043843061168232,24.279070594253973,18.413608004599997,17.82791
43,19.00885332,23.912990448201896,29.569307345658224,22.9766842805,18.922787
