,Actual,Linear_Predicted,Ridge_Predicted,Lass_Predict,RandomForestRegressor
0,40.0,44.20436706362262,44.20415473907528,42.21154939348246,38.529
1,45.2,51.9212617696478,51.918689908104135,48.31525677497419,47.42024999999999
2,23.8,27.168600751893702,27.169154772214064,29.769610618559128,24.25299999999999
3,48.0,43.63885842695596,43.636373705815416,41.73219420218862,40.929999999999986
4,41.0,43.26967415252517,43.2699055371547,42.923492360781296,60.41100000000002
5,41.1,36.37340503241683,36.37454798598158,38.53734524645456,36.570333333333345
6,27.7,31.218752501469385,31.217276199213735,31.16385753546708,25.10999999999998
7,23.1,31.099880171448177,31.103107372776442,32.11290155594945,24.7665
8,30.7,36.580105038395345,36.57707420839155,34.55973501454617,32.32000000000005
9,39.6,32.76767904896472,32.7681077612942,34.71446021335822,39.925999999999995
10,37.0,30.251728236855968,30.25151422435838,32.79266930149813,38.54716666666664
11,30.5,35.35654475475515,35.35810054611734,38.23338522647617,35.21533333333334
12,55.9,51.74140329131386,51.74005701139684,49.31546803634757,47.710499999999996
13,55.1,47.14643940320884,47.14651112587815,46.85231182720669,44.103
14,41.4,32.96545212285832,32.96452438146997,34.92163614758433,35.41566666666667
15,17.4,12.265076772931298,12.268954493659336,16.282414414511905,15.738000000000001
16,41.9,43.3686362381848,43.36852887907536,42.786570856303314,39.605666666666664
17,43.7,44.386905736089375,44.38684235838599,43.728783161932235,37.33600000000002
18,50.2,41.948536046192146,41.943345336964846,40.237863253488335,33.65000000000004
19,40.5,49.87413725679392,49.871985447685965,47.304857435743116,45.98201666666666
20,18.8,16.22427486298185,16.22648092611481,17.71107030914211,19.57800000000002
21,55.0,47.6472603819676,47.64666774365115,44.32059158352971,52.54624999999999
22,49.8,55.246838841825564,55.244587323498166,51.48458350815659,55.31769999999999
23,30.8,34.440171778058954,34.43735551373112,33.62453008668224,28.38425
24,38.5,38.7090910880618,38.708309713236,37.22990539393771,42.48400000000003
25,19.2,13.539056759199632,13.542364687437033,16.692765979906493,14.398999999999994
26,25.5,33.20365097629194,33.20615057510233,33.42379156374901,26.257500000000004
27,42.2,40.365366894920726,40.364838858928614,40.22654936161498,41.16299999999998
28,53.5,50.200621011345376,50.199513439189296,49.29704235108123,51.232999999999976
29,37.4,36.787188727201915,36.78487549862579,38.15043643943751,34.774999999999984
30,61.5,37.027506427762745,37.02744218243092,36.942946340243566,39.535000000000025
31,43.9,38.99819797595943,38.99422629843956,38.499254815198384,39.368999999999964
32,22.1,34.765753676872656,34.76326410585457,34.069840827170225,23.448500000000013
33,21.4,37.15365631164762,37.150994724431726,36.820785306245426,26.791999999999987
34,63.3,51.73320713449381,51.731271499958034,48.088277833094374,71.37775000000008
35,53.3,47.1729359146666,47.17215047739499,45.16226099182495,45.65833333333331
36,46.7,46.74753336259167,46.74672695880231,44.892844410564514,50.10666666666666
37,43.2,38.25937754659913,38.25877530140175,37.09241658781113,42.59600000000003
38,33.1,42.130077163233565,42.13029317091194,41.647708281727056,39.75200000000003
39,40.2,43.421179160447046,43.421733680670954,44.1213889170889,43.74099999999999
40,54.4,53.217992054156284,53.21657563380651,50.943092190557095,55.35416666666665
41,28.1,32.03516062304834,32.03345525282684,31.712219981405468,24.59599999999999
